Recipe_ID,Recipe_Name
13dCO5cuz3JwVM0rlke2,Daliya Firecracker Salad- 3 person
1lgqyqjv752nSq88L7Yh,Oriental Stir Fry - Beginners' Guide
2ACY9M6VXpi7CGP6G0xS,Pasta Marinara 2.0 New
2W4rQzYXmp8sAXRGxf23,Hulk Ramen-Alternate Ingredients
polaCn9q50eKPy6LrdWN,Poha
3f313e6e-4cd4-4c7c-904e-e0a476461ec5, Batata Stew
a9054d0d-6076-46cc-b44b-f485361c64f0,Tomato Onion Chutney
5c833681-66c4-4974-af6b-2da5612b9412,Cambodian Braised Pork Stew Copy
0twVEtLXNufk11kDaOwD,Paneer Stir Fry
25WixmrOMbb8lP6R3kJQ,Veg Keema
0wUtwWrmkRkYArq6UAxj,Prawn Curry
bd29a7d7-d027-4436-9bb7-c5a475204088,Orange Chicken
3pIvsQVu96YfYpGn8cVH,Poha- Vivek's version
4cfb0nTJjuiLbMjnVoyp,Jazzy Peanuts
4bUpf27AK1rYJ4oKKVcu,Daliya Firecracker Salad 
4cmv1bl3lae4MUo22NA7,Jeera Red Chilli Tadka
5CVGedOnD1UJ0TTUvdJq,Matar Pulao- Alternate 
9M5QyHFkA78NbDLTNOr1,Dahi Lahsooni Chicken
asFLmheZJYWmfXqvnKo3,Quinoa Veggie Bowl
6SLzkHDy1lPGmfvK1176,Cashew Milk
17cc3796-235f-4f5e-9b6d-479e6955cab4,Rajma 
rB2T5Fm2esQBSAuBz7wb,Tangy Paneer
53cdd27a-058a-44a3-bfd7-514e5f2d58da,Mushroom Risotto Copy- new
2euEr1f5BKixfOBQbNCZ,Low-Cal Chicken Stroganoff
9ZmXACFLyg7LKEVwKBW9,Masala Mushroom
9eEKwnsiWkojDRWEMHRa,Creamy Afghani Chicken
9lqMtjqMO5jnEwuBqep2,Thai Peanut Salad
B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles
31782ba6-cc06-4ee1-9f81-d458ae1c83a5,Soy Milk Ramen
9Htgo0THJkf8xQV0EUt7,Quick Scrambled Eggs
