session_id,recipe_id,recipe_name,user_id,user_name,test
0507aac0-98ea-4e53-a370-36d111f3105b,r6YEe0ixhcV51JclfnPx,Masala Papad Taco,any,React Office,test
536fbecb-7cf5-4bc8-b4f5-dda0b0a4f39a,Fa4WniMC5uLnapeECQxK,White Sauce Pasta,dTxgxumaAvnpyWsR8nf6,Karan L,test
12cbee54-1f7f-44ef-acd3-2a9be1fef8ab,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,default_user,React Office,test
edb81efe-b219-4765-96a0-37f731623d2d,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
73e424d1-5e44-4605-ab4c-d564b5bcfe39,7bmUxSgrWVcW0nnOCiEe,Steamed White Rice,default_user,React Office,test
1fc693a1-c3a7-4210-ad6a-6a8b87a79adc,qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi,any,React Office,test
a72ebcfa-dfc5-4074-9333-a6ef233e421c,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
a6f7bf6e-d53f-490d-88eb-db3ab109fee1,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
86710fc9-b8f8-4b3e-90d2-4cb7aebfaf8e,suDZAr4TiY0pfxOB0Bwp,Chunky Mushroom Soup,any,React Office,test
31249275-d1fb-44fc-a04f-7dbd07fd1591,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
8fd56834-a838-4883-88e6-485d8fb3bc59,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
d812f558-c344-4e5a-97d1-fae57aea1d83,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
436108c1-ea95-46d1-9b6a-d72262d3529b,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
5e018140-6842-43f4-8358-d2fa9cdf018f,42kfAHreizjCc7yYTnJb,New Recipe,default_user,React Office,test
dc8e9ffd-3c9d-4310-8d4f-8ad31d41302f,3pIvsQVu96YfYpGn8cVH,Poha- Vivek's version,default_user,React Office,test
3413b44a-7ceb-46e8-86e4-6de5049ed92c,k78fRy4ZAMdyPLZfDI86,Bread Paneer Poha,6xqQZAJWmbiYMoy2coXE,Deepak,test
f73d31bd-8bc2-42e2-89c6-17f84188a31e,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
bc18d6e8-4ae5-4727-8f4d-16fdb790b3be,rS2FFVdj9y84u0kVyoAt,Chicken Tariwala,default_user,React Office,test
9fd496f5-928d-4fc9-8a31-c0d21ed6d518,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,TR3myjFI8khyrShroxyh,Ishan,test
680307cc-f0aa-483c-90c9-a3e9b34ffd7f,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
dedd0f80-fda6-462e-9437-e2e4b2451497,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
3b696883-a4cc-4355-853a-10d30768af5d,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
979b272f-9ae1-4619-a581-b14915d75de9,Kj0Xb0mRZCjgUGSzON7J,Coconut and Spinach Stew,higuJo5bezTWdtp0qHJF,Garima,test
c8c1c333-1280-480c-a7b3-583243b6b75e,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
5d5ed97f-d34f-4d2d-a0b7-a1f580863ba9,qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi,any,React Office,test
fce8298b-22a2-4db4-9508-44970cd7d0c7,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,default_user,React Office,test
6ad9dcb5-5710-4c00-9aa1-74706ba9ed59,6SLzkHDy1lPGmfvK1176,Cashew Milk,higuJo5bezTWdtp0qHJF,Garima,test
cf2abb25-8640-4bbf-9ea6-dd1ee0b2d5ec,M7UWiRrF4FPnZhJ3cBVz,Beetroot Pasta,any,React Office,test
14203cd7-218c-4225-b647-cbd41b9f1af4,bM2PYm6kCCo6EmuPNQ11,Barley Mushroom Risotto,default_user,React Office,test
f8d441ce-4c50-4eda-b07f-6ef52148aa06,mTWFVnGTGwGTohXxOL9B,Oriental Stir Fry,zOFpmb7JdVZ3sVzhUM0j,Neeraj,test
45d43946-8de9-4cf5-8c22-0779524c96ec,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
fdf245b5-d607-4a24-bf49-fdd84f2f7556,B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles,default_user,React Office,test
1ae78788-907e-463b-b2d1-48207159b455,Xj3dRz5W3rtVkvIDSJuA,Chicken Keema,default_user,React Office,test
